row_type,scope,band,n_crowns,top1_accuracy,fraction_of_scope,n_correct,n_wrong,error_rate_if_auto_accepted
bin,all_species_level_gt,"[0.0,0.5)",842,0.3777,0.2569,318,524,
bin,all_species_level_gt,"[0.5,0.7)",384,0.8255,0.1172,317,67,
bin,all_species_level_gt,"[0.7,0.8)",288,0.8924,0.0879,257,31,
bin,all_species_level_gt,"[0.8,0.9)",573,0.9546,0.1749,547,26,
bin,all_species_level_gt,"[0.9,1.0)",1190,0.9790,0.3631,1165,25,
threshold,all_species_level_gt,>=0.7,2051,0.9600,0.6259,1969,82,0.0400
threshold,all_species_level_gt,>=0.8,1763,0.9711,0.5380,1712,51,0.0289
threshold,all_species_level_gt,>=0.9,1190,0.9790,0.3631,1165,25,0.0210
bin,species_with_n_ge_10,"[0.0,0.5)",619,0.4168,0.2137,258,361,
bin,species_with_n_ge_10,"[0.5,0.7)",324,0.8673,0.1118,281,43,
bin,species_with_n_ge_10,"[0.7,0.8)",273,0.9048,0.0942,247,26,
bin,species_with_n_ge_10,"[0.8,0.9)",546,0.9597,0.1885,524,22,
bin,species_with_n_ge_10,"[0.9,1.0)",1135,0.9824,0.3918,1115,20,
threshold,species_with_n_ge_10,>=0.7,1954,0.9652,0.6745,1886,68,0.0348
threshold,species_with_n_ge_10,>=0.8,1681,0.9750,0.5803,1639,42,0.0250
threshold,species_with_n_ge_10,>=0.9,1135,0.9824,0.3918,1115,20,0.0176
bin,species_n_ge_10_and_top1_ge_0.90,"[0.0,0.5)",160,0.5500,0.1131,88,72,
bin,species_n_ge_10_and_top1_ge_0.90,"[0.5,0.7)",108,0.9352,0.0763,101,7,
bin,species_n_ge_10_and_top1_ge_0.90,"[0.7,0.8)",126,0.9921,0.0890,125,1,
bin,species_n_ge_10_and_top1_ge_0.90,"[0.8,0.9)",295,0.9831,0.2085,290,5,
bin,species_n_ge_10_and_top1_ge_0.90,"[0.9,1.0)",726,0.9904,0.5131,719,7,
threshold,species_n_ge_10_and_top1_ge_0.90,>=0.7,1147,0.9887,0.8106,1134,13,0.0113
threshold,species_n_ge_10_and_top1_ge_0.90,>=0.8,1021,0.9882,0.7216,1009,12,0.0118
threshold,species_n_ge_10_and_top1_ge_0.90,>=0.9,726,0.9904,0.5131,719,7,0.0096
