global_key,split,gt_species,predicted_species,confidence,labelbox_url
comb_DJI_20241218093917_0026_V_5241zoom.JPG,train,machaerium isadelphum,sterculia apetala,0.984150,https://app.labelbox.com/projects/cm7axzuax0lat07vw4o2va3zk/data-rows/cm60y5p0w58oy0623qzg1m17f
comb_DJI_20241024132206_0012_V_2336zoom.JPG,,fridericia candicans,hieronyma alchorneoides,0.969900,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xn4pv4wzj07330rko61rn
comb_DJI_20251010124150_0039_V_7852zoom.JPG,valid,tabernaemontana arborea,terminalia amazonia,0.967530,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmgsjyhsn62vs0766ltewjh0w
comb_DJI_20251010083105_0027_V_2432zoom.JPG,test,coccoloba excelsa,davilla nitida,0.964980,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmgsbybuhfb4p07166s3973qn
comb_DJI_20250813150133_0015_V_3647zoom.JPG,test,inga sapindoides,inga marginata,0.960310,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmf2yhhcpcg7w0716ljn2n59h
comb_DJI_20241101094006_0042_V_1186zoom.JPG,,protium panamense,anacardium excelsum,0.956860,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xoh2j4x0w073370bevf17
comb_DJI_20241124085937_0008_V_732zoom.JPG,,anacardium excelsum,ficus obtusifolia,0.955120,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xr4324qcf0749z6lteq74
comb_DJI_20250304075513_0012_V_7481zoom.JPG,train,fridericia patellifera,macrocnemum roseum,0.947560,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmbgnqgpib8xk07427afjg9ah
comb_DJI_20241101103959_0058_V_670zoom.JPG,,oenocarpus mapora,attalea butyracea,0.947330,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xohbh4x390733spyij9v3
comb_DJI_20250304082331_0046_V_7517zoom.JPG,train,uncaria tomentosa,hieronyma alchorneoides,0.945240,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmbgnqgggb8uq0742n1euvw8d
comb_DJI_20250723123652_0011_V_7319zoom.JPG,train,sloanea terniflora,uncaria tomentosa,0.944580,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9aet9k2wuo070447p96fag
comb_DJI_20241217101543_0018_V_3894zoom.JPG,valid,hymenaea courbaril,prioria copaifera,0.944420,https://app.labelbox.com/projects/cm7axzuax0lat07vw4o2va3zk/data-rows/cm60y2whj4zk30727rxxncb1y
comb_DJI_20250716091818_0024_V_338zoom.JPG,,handroanthus guayacan,tabebuia rosea,0.943500,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9ebovb0d370859osm18bfv
comb_DJI_20250821143710_0039_V_2247zoom.JPG,train,hura crepitans,fridericia candicans,0.942830,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmf2yhj11cg9p0716uotefwbu
comb_DJI_20250716121007_0016_V_77zoom.JPG,,terminalia amazonia,terminalia oblonga,0.942130,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9eal8k2xdf0701yeorkmex
comb_DJI_20250814115732_0057_V_7551zoom.JPG,test,quararibea stenophylla,luehea seemannii,0.932380,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmeybolclhi920712ykgvcaab
comb_DJI_20250813094035_0029_V_9687zoom.JPG,train,luehea seemannii,apeiba tibourbou,0.928000,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmexnuomy2as80733au9euux2
comb_DJI_20250304075902_0024_V_7169zoom.JPG,train,anacardium excelsum,uncaria tomentosa,0.925410,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmbgnqge2b8u00742zu9utq77
comb_DJI_20241218110700_0050_V_5291zoom.JPG,test,ficus obtusifolia,anacardium excelsum,0.917510,https://app.labelbox.com/projects/cm7axzuax0lat07vw4o2va3zk/data-rows/cm60y5p4h58pn0623d3y0gzpx
comb_DJI_20250814111624_0007_V_7454zoom.JPG,train,anacardium excelsum,fridericia candicans,0.908550,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmeybol50hi7g0712l865v57i
comb_DJI_20241218105439_0014_V_6179zoom.JPG,train,hura crepitans,sterculia apetala,0.908540,https://app.labelbox.com/projects/cm7axzuax0lat07vw4o2va3zk/data-rows/cm60y5oxx58oc0623bzs4337q
comb_DJI_20250716100614_0012_V_316zoom.JPG,train,terminalia amazonia,tabernaemontana arborea,0.905250,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9eboni0d1n085925jsbdj9
comb_DJI_20250821142752_0007_V_3497zoom.JPG,train,maripa panamensis,protium panamense,0.905130,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmf2yhikxcg990716t1p2fr5f
comb_DJI_20240912092443_0032_V_2380zoom.JPG,,pseudobombax septenatum,ceiba pentandra,0.905060,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xific4zhl0727wv5t74ml
comb_DJI_20241226100709_0076_V_2096zoom.JPG,train,anacardium excelsum,uncaria tomentosa,0.901550,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60y9bgv4x9h0733aahm4gsq
