gt_raw_name,normalized,wcvp_accepted_binomial,match_tier,n_gt_crowns,in_corpus_vocabulary
Anacardium excelsum,anacardium excelsum,,a_exact_binomial,392,True
Dipteryx oleifera,dipteryx oleifera,,a_exact_binomial,281,True
Luehea seemannii,luehea seemannii,,a_exact_binomial,143,True
Hura crepitans,hura crepitans,,a_exact_binomial,123,True
Prioria copaifera,prioria copaifera,,a_exact_binomial,121,True
Jacaranda copaia,jacaranda copaia,,a_exact_binomial,118,True
Hieronyma alchorneoides,hieronyma alchorneoides,,a_exact_binomial,107,True
Handroanthus guayacan,handroanthus guayacan,,a_exact_binomial,86,True
Terminalia amazonia,terminalia amazonia,,a_exact_binomial,85,True
Alseis blackiana,alseis blackiana,,a_exact_binomial,73,True
Tachigali panamensis,tachigali panamensis,,a_exact_binomial,64,True
Virola surinamensis,virola surinamensis,,c_genus_only_in_corpus,64,False
Attalea butyracea,attalea butyracea,,a_exact_binomial,59,True
Ceiba pentandra,ceiba pentandra,,a_exact_binomial,59,True
Quararibea stenophylla,quararibea stenophylla,,a_exact_binomial,59,True
Tabebuia rosea,tabebuia rosea,,a_exact_binomial,56,True
Spondias,spondias,,c_gt_label_is_genus_only,54,False
Sterculia apetala,sterculia apetala,,a_exact_binomial,54,True
Uncaria tomentosa,uncaria tomentosa,,a_exact_binomial,48,True
Virola,virola,,c_gt_label_is_genus_only,48,False
Protium stevensonii,protium stevensonii,,a_exact_binomial,45,True
Cecropia insignis,cecropia insignis,,a_exact_binomial,44,True
Calophyllum longifolium,calophyllum longifolium,,a_exact_binomial,43,True
Simarouba amara,simarouba amara,,a_exact_binomial,42,True
Apeiba membranacea,apeiba membranacea,,a_exact_binomial,40,True
Astronium graveolens,astronium graveolens,,a_exact_binomial,37,True
Brosimum alicastrum,brosimum alicastrum,,a_exact_binomial,35,True
Fridericia candicans,fridericia candicans,,a_exact_binomial,35,True
Spondias mombin,spondias mombin,,a_exact_binomial,34,True
Platypodium elegans,platypodium elegans,,a_exact_binomial,33,True
Pseudobombax septenatum,pseudobombax septenatum,,a_exact_binomial,27,True
Luehea,luehea,,c_gt_label_is_genus_only,26,False
Guatteria lucens,guatteria lucens,,a_exact_binomial,25,True
Protium,protium,,c_gt_label_is_genus_only,23,False
Tabebuia,tabebuia,,c_gt_label_is_genus_only,23,False
Zanthoxylum,zanthoxylum,,c_gt_label_is_genus_only,22,False
Aspidosperma desmanthum,aspidosperma desmanthum,,a_exact_binomial,21,True
Davilla nitida,davilla nitida,,a_exact_binomial,21,True
Trattinnickia aspera,trattinnickia aspera,,a_exact_binomial,21,True
Trichilia tuberculata,trichilia tuberculata,,a_exact_binomial,21,True
Zanthoxylum ekmanii,zanthoxylum ekmanii,,a_exact_binomial,21,True
Ochroma pyramidale,ochroma pyramidale,,a_exact_binomial,20,True
Pouteria stipitata,pouteria stipitata,,a_exact_binomial,20,True
