species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
anacardium excelsum,Anacardium excelsum,392,364,0.9286,376,0.9592,383,0.9504,0.9286,0.9394,0.8594,0.9385,0.8702,0.9658,0.0956,0.8964,True,True,25+,reliable
dipteryx oleifera,Dipteryx oleifera,281,271,0.9644,276,0.9822,275,0.9855,0.9644,0.9748,0.8559,0.9243,0.8376,0.9691,0.1315,0.8787,True,True,25+,reliable
luehea seemannii,Luehea seemannii,143,125,0.8741,132,0.9231,139,0.8993,0.8741,0.8865,0.7726,0.8927,0.7495,0.9540,0.2045,0.8323,True,True,25+,adequate
hura crepitans,Hura crepitans,123,112,0.9106,116,0.9431,114,0.9825,0.9106,0.9451,0.7563,0.8317,0.6763,0.9015,0.2252,0.7870,True,True,25+,reliable
prioria copaifera,Prioria copaifera,121,109,0.9008,114,0.9421,114,0.9561,0.9008,0.9277,0.7532,0.8684,0.5549,0.9497,0.3948,0.8004,True,True,25+,reliable
jacaranda copaia,Jacaranda copaia,118,111,0.9407,113,0.9576,122,0.9098,0.9407,0.9250,0.7963,0.8818,0.7508,0.9541,0.2034,0.8366,True,True,25+,reliable
hieronyma alchorneoides,Hieronyma alchorneoides,107,99,0.9252,103,0.9626,103,0.9612,0.9252,0.9429,0.8339,0.9288,0.8349,0.9632,0.1283,0.8776,True,True,25+,reliable
handroanthus guayacan,Handroanthus guayacan,86,79,0.9186,83,0.9651,86,0.9186,0.9186,0.9186,0.6846,0.7919,0.5060,0.8936,0.3876,0.7169,True,True,25+,reliable
terminalia amazonia,Terminalia amazonia,85,63,0.7412,80,0.9412,70,0.9000,0.7412,0.8129,0.6124,0.6626,0.3533,0.8788,0.5254,0.7144,True,True,25+,ranking
alseis blackiana,Alseis blackiana,73,62,0.8493,66,0.9041,68,0.9118,0.8493,0.8794,0.7442,0.9216,0.5733,0.9707,0.3973,0.8381,True,True,25+,adequate
tachigali panamensis,Tachigali panamensis,64,57,0.8906,61,0.9531,57,1.0000,0.8906,0.9421,0.7646,0.8800,0.6331,0.9466,0.3135,0.8325,True,True,25+,adequate
attalea butyracea,Attalea butyracea,59,40,0.6780,57,0.9661,43,0.9302,0.6780,0.7843,0.4898,0.4869,0.3109,0.7212,0.4104,0.5431,True,True,25+,ranking
ceiba pentandra,Ceiba pentandra,59,51,0.8644,57,0.9661,70,0.7286,0.8644,0.7907,0.7116,0.7861,0.5917,0.8957,0.3040,0.7430,True,True,25+,adequate
quararibea stenophylla,Quararibea stenophylla,59,41,0.6949,50,0.8475,44,0.9318,0.6949,0.7961,0.6486,0.6670,0.5082,0.8669,0.3587,0.7609,True,True,25+,hard
tabebuia rosea,Tabebuia rosea,56,47,0.8393,52,0.9286,50,0.9400,0.8393,0.8868,0.7134,0.8167,0.5089,0.9330,0.4241,0.7771,True,True,25+,adequate
sterculia apetala,Sterculia apetala,54,44,0.8148,49,0.9074,52,0.8462,0.8148,0.8302,0.7351,0.8873,0.5696,0.9541,0.3845,0.8540,True,True,25+,adequate
uncaria tomentosa,Uncaria tomentosa|Uncaria tomentosa-UNCATO,53,38,0.7170,49,0.9245,54,0.7037,0.7170,0.7103,0.6817,0.7825,0.4136,0.9491,0.5355,0.7743,True,True,25+,ranking
virola surinamensis,Virola surinamensis,47,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0383,0.0042,0.0019,0.0178,0.0159,,False,False,25+,out_of_scope
protium stevensonii,Protium stevensonii,45,33,0.7333,44,0.9778,52,0.6346,0.7333,0.6804,0.6128,0.7113,0.3392,0.8741,0.5349,0.7596,True,True,25+,ranking
calophyllum longifolium,Calophyllum longifolium,43,38,0.8837,39,0.9070,40,0.9500,0.8837,0.9157,0.7290,0.8545,0.6921,0.9391,0.2470,0.7861,True,True,25+,adequate
