,global_key,base_image,image_url,full_image_path,lb_label,full_zoom_path,x_min,y_min,x_max,y_max,width,height
3859,DJI_20241127104031_0054_V_1536zoom_lir_Luehea_seemannii_Planch.__Triana_836x602_7cc830d4.jpg,DJI_20241127104031_0054_V_1536zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20241127_knightlangbci_wptsendero_m3e/DJI_202411271018_006_knightlangbciwptsendero/DJI_20241127104031_0054_V_1536zoom.JPG,labelled/Luehea_seemannii/cropped/DJI_20241127104031_0054_V_1536zoom_lir_Luehea_seemannii_Planch.__Triana_836x602_7cc830d4.jpg,Luehea seemannii-LUEHSE-LUE1,labelled/Luehea_seemannii/zoom/DJI_20241127104031_0054_V_1536zoom.JPG,3120,748,3956,1350,836,602
3860,DJI_20241127104256_0004_V_1728zoom_lir_Alseis_blackiana_Hemsl._4000x3000_a7787dc3.jpg,DJI_20241127104256_0004_V_1728zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20241127_knightlangbci_wptsendero_m3e/DJI_202411271018_007_knightlangbciwptsendero/DJI_20241127104256_0004_V_1728zoom.JPG,labelled/Alseis_blackiana/cropped/DJI_20241127104256_0004_V_1728zoom_lir_Alseis_blackiana_Hemsl._4000x3000_a7787dc3.jpg,Alseis blackiana-ALSEBL-ALSB,labelled/Alseis_blackiana/zoom/DJI_20241127104256_0004_V_1728zoom.JPG,0,0,4000,3000,4000,3000
3861,DJI_20240911153632_0056_V_5074zoom_lir_Tetragastris_panamensis_Engl._Kuntze_2612x1774_af239015.jpg,DJI_20240911153632_0056_V_5074zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911153632_0056_V_5074zoom.JPG,labelled/Protium_stevensonii/cropped/DJI_20240911153632_0056_V_5074zoom_lir_Tetragastris_panamensis_Engl._Kuntze_2612x1774_af239015.jpg,Protium stevensonii-TET2PA-TET2,labelled/Protium_stevensonii/zoom/DJI_20240911153632_0056_V_5074zoom.JPG,1372,1208,3984,2982,2612,1774
3862,DJI_20240911153632_0056_V_5074zoom_lir_Tetragastris_panamensis_Engl._Kuntze_1092x1186_60dde8af.jpg,DJI_20240911153632_0056_V_5074zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911153632_0056_V_5074zoom.JPG,labelled/Protium_stevensonii/cropped/DJI_20240911153632_0056_V_5074zoom_lir_Tetragastris_panamensis_Engl._Kuntze_1092x1186_60dde8af.jpg,Protium stevensonii-TET2PA-TET2,labelled/Protium_stevensonii/zoom/DJI_20240911153632_0056_V_5074zoom.JPG,2892,24,3984,1210,1092,1186
3863,DJI_20240911154514_0004_V_5068zoom_lir_Gustavia_superba_Kunth_O.Berg_1434x1250_ec1b4839.jpg,DJI_20240911154514_0004_V_5068zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911154514_0004_V_5068zoom.JPG,labelled/Gustavia_superba/cropped/DJI_20240911154514_0004_V_5068zoom_lir_Gustavia_superba_Kunth_O.Berg_1434x1250_ec1b4839.jpg,Gustavia superba-GUSTSU-GUSS,labelled/Gustavia_superba/zoom/DJI_20240911154514_0004_V_5068zoom.JPG,2088,0,3522,1250,1434,1250
3864,DJI_20240911154514_0004_V_5068zoom_lir_Gustavia_superba_Kunth_O.Berg_504x716_168c0aa5.jpg,DJI_20240911154514_0004_V_5068zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911154514_0004_V_5068zoom.JPG,labelled/Gustavia_superba/cropped/DJI_20240911154514_0004_V_5068zoom_lir_Gustavia_superba_Kunth_O.Berg_504x716_168c0aa5.jpg,Gustavia superba-GUSTSU-GUSS,labelled/Gustavia_superba/zoom/DJI_20240911154514_0004_V_5068zoom.JPG,1588,0,2092,716,504,716
3865,DJI_20240911154703_0010_V_5550zoom_lir_Quararibea_Aubl._1062x552_ff7574ee.jpg,DJI_20240911154703_0010_V_5550zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911154703_0010_V_5550zoom.JPG,labelled/Quararibea/cropped/DJI_20240911154703_0010_V_5550zoom_lir_Quararibea_Aubl._1062x552_ff7574ee.jpg,Quararibea,labelled/Quararibea/zoom/DJI_20240911154703_0010_V_5550zoom.JPG,0,0,1062,552,1062,552
3866,DJI_20240911155442_0034_V_6116zoom_lir_Spondias_L._2542x1054_215097e7.jpg,DJI_20240911155442_0034_V_6116zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911155442_0034_V_6116zoom.JPG,labelled/Spondias/cropped/DJI_20240911155442_0034_V_6116zoom_lir_Spondias_L._2542x1054_215097e7.jpg,Spondias,labelled/Spondias/zoom/DJI_20240911155442_0034_V_6116zoom.JPG,1456,1704,3998,2758,2542,1054
3867,DJI_20240911155442_0034_V_6116zoom_lir_Spondias_L._4000x650_d51f7d56.jpg,DJI_20240911155442_0034_V_6116zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911155442_0034_V_6116zoom.JPG,labelled/Spondias/cropped/DJI_20240911155442_0034_V_6116zoom_lir_Spondias_L._4000x650_d51f7d56.jpg,Spondias,labelled/Spondias/zoom/DJI_20240911155442_0034_V_6116zoom.JPG,0,808,4000,1458,4000,650
3868,DJI_20240911155835_0046_V_5889zoom_lir_Anacardium_excelsum_Bertero__Balb._Skeels_1870x1682_5e70e559.jpg,DJI_20240911155835_0046_V_5889zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111540_012_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911155835_0046_V_5889zoom.JPG,labelled/Anacardium_excelsum/cropped/DJI_20240911155835_0046_V_5889zoom_lir_Anacardium_excelsum_Bertero__Balb._Skeels_1870x1682_5e70e559.jpg,Anacardium excelsum-ANACEX-ANAE,labelled/Anacardium_excelsum/zoom/DJI_20240911155835_0046_V_5889zoom.JPG,2128,0,3998,1682,1870,1682
