base_image,site,flight_day,gt_species,n_crowns
DJI_20240912085229_0016_V_2638zoom.JPG,bcifairchild,20240912,attalea butyracea,4
DJI_20240912090402_0050_V_3179zoom.JPG,bcifairchild,20240912,annona spraguei,3
DJI_20240912090706_0058_V_3418zoom.JPG,bcifairchild,20240912,attalea butyracea,1
DJI_20240912091438_0004_V_3427zoom.JPG,bcifairchild,20240912,luehea seemannii,4
DJI_20240912091759_0012_V_3429zoom.JPG,bcifairchild,20240912,attalea butyracea,1
DJI_20240912092827_0044_V_2677zoom.JPG,bcifairchild,20240912,attalea butyracea,4
DJI_20240912093352_0058_V_3398zoom.JPG,bcifairchild,20240912,dipteryx oleifera,2
DJI_20240912094144_0004_V_3141zoom.JPG,bcifairchild,20240912,pochota fendleri,4
DJI_20240912094545_0018_V_3132zoom.JPG,bcifairchild,20240912,dipteryx oleifera,1
DJI_20240912094739_0024_V_3131zoom.JPG,bcifairchild,20240912,anacardium excelsum,2
DJI_20240912095448_0046_V_2615zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240913105504_0018_V_4630zoom.JPG,bcifairchild,20240913,luehea seemannii,1
DJI_20240913110435_0046_V_5437zoom.JPG,bcifairchild,20240913,attalea butyracea,5
DJI_20240913111610_0002_V_5137zoom.JPG,bcifairchild,20240913,anacardium excelsum,7
DJI_20240913111644_0004_V_5393zoom.JPG,bcifairchild,20240913,anacardium excelsum,3
DJI_20240913112215_0022_V_4885zoom.JPG,bcifairchild,20240913,virola surinamensis,3
DJI_20241024125130_0006_V_1567zoom.JPG,bcifairchild,20241024,spondias mombin,4
DJI_20241024125408_0014_V_1573zoom.JPG,bcifairchild,20241024,oenocarpus mapora,3
DJI_20241024130751_0058_V_2059zoom.JPG,bcifairchild,20241024,aspidosperma desmanthum,5
DJI_20241024132806_0034_V_1001zoom.JPG,bcifairchild,20241024,hieronyma alchorneoides,3
DJI_20241024133040_0042_V_756zoom.JPG,bcifairchild,20241024,alseis blackiana,3
DJI_20241024133255_0048_V_1843zoom.JPG,bcifairchild,20241024,virola sebifera,2
DJI_20241024134936_0010_V_1884zoom.JPG,bcifairchild,20241024,hieronyma alchorneoides,1
DJI_20241024135022_0012_V_1600zoom.JPG,bcifairchild,20241024,dipteryx oleifera,2
DJI_20241101094006_0042_V_1186zoom.JPG,bcifairchild,20241101,protium panamense,5
DJI_20241101100131_0022_V_639zoom.JPG,bcifairchild,20241101,anacardium excelsum,3
DJI_20241101100216_0024_V_1198zoom.JPG,bcifairchild,20241101,tabebuia rosea,4
DJI_20241101100344_0028_V_1184zoom.JPG,bcifairchild,20241101,spondias mombin,5
DJI_20241101100629_0036_V_640zoom.JPG,bcifairchild,20241101,dipteryx oleifera,7
DJI_20241101102133_0002_V_413zoom.JPG,bcifairchild,20241101,gustavia superba,2
DJI_20241101102718_0016_V_432zoom.JPG,bcifairchild,20241101,luehea seemannii,2
DJI_20241101102849_0020_V_298zoom.JPG,bcifairchild,20241101,protium panamense,1
DJI_20241101103750_0050_V_661zoom.JPG,bcifairchild,20241101,handroanthus guayacan,5
DJI_20241101103821_0052_V_315zoom.JPG,bcifairchild,20241101,trichilia tuberculata,2
DJI_20241107103541_0010_V_1946zoom.JPG,bcifairchild,20241107,anacardium excelsum,3
DJI_20241107104037_0026_V_2523zoom.JPG,bcifairchild,20241107,dipteryx oleifera,3
DJI_20241107104439_0042_V_1677zoom.JPG,bcifairchild,20241107,dipteryx oleifera,6
DJI_20241107105852_0010_V_1391zoom.JPG,bcifairchild,20241107,astrocaryum standleyanum,3
DJI_20241124090044_0012_V_345zoom.JPG,knightlangbci,20241124,platypodium elegans,3
DJI_20241124091848_0024_V_1045zoom.JPG,knightlangbci,20241124,dipteryx oleifera,4
DJI_20241126103615_0046_V_637zoom.JPG,knightlangbci,20241126,oenocarpus mapora,3
DJI_20241127095108_0022_V_2227zoom.JPG,knightlangbci,20241127,tabebuia rosea,1
DJI_20241127113537_0054_V_1461zoom.JPG,knightlangbci,20241127,pourouma bicolor,2
DJI_20241202111103_0006_V_1648zoom.JPG,knightlangbci,20241202,handroanthus guayacan,5
DJI_20241202112237_0040_V_1133zoom.JPG,knightlangbci,20241202,handroanthus guayacan,5
DJI_20241202112314_0042_V_1151zoom.JPG,knightlangbci,20241202,alseis blackiana,3
DJI_20241204092012_0008_V_3143zoom.JPG,bcifairchildn,20241204,tabebuia rosea,3
DJI_20241204093012_0032_V_2632zoom.JPG,bcifairchildn,20241204,terminalia amazonia,4
DJI_20241204100031_0032_V_191zoom.JPG,bcifairchildn,20241204,anacardium excelsum,3
DJI_20241204100925_0052_V_421zoom.JPG,bcifairchildn,20241204,tabebuia rosea,3
DJI_20241204102337_0019_V_580zoom.JPG,bcifairchildn,20241204,anacardium excelsum,3
DJI_20241204111625_0008_V_2507zoom.JPG,bcifairchildn,20241204,dipteryx oleifera,2
DJI_20241204113833_0020_V_1016zoom.JPG,knightlangbci,20241204,miconia argentea,3
DJI_20241204143708_0010_V_4396zoom.JPG,bcifairchildn,20241204,dipteryx oleifera,3
DJI_20241204151711_0036_V_1844zoom.JPG,bcifairchildn,20241204,dipteryx oleifera,3
DJI_20241204151853_0040_V_1847zoom.JPG,bcifairchildn,20241204,terminalia amazonia,4
DJI_20241204151941_0042_V_1815zoom.JPG,bcifairchildn,20241204,terminalia amazonia,4
DJI_20241204152316_0050_V_1785zoom.JPG,bcifairchildn,20241204,dipteryx oleifera,3
DJI_20241211100016_0006_V_1884zoom.JPG,bcifairchildn,20241211,terminalia amazonia,2
DJI_20241211100743_0022_V_938zoom.JPG,bcifairchildn,20241211,terminalia amazonia,7
DJI_20241211100835_0024_V_1224zoom.JPG,bcifairchildn,20241211,aspidosperma desmanthum,5
DJI_20241218115953_0024_V_3480zoom.JPG,bci50haplot,20241218,aspidosperma desmanthum,2
DJI_20241218122811_0030_V_1191zoom.JPG,bci50haplot,20241218,aspidosperma desmanthum,1
DJI_20241218122939_0034_V_1637zoom.JPG,bci50haplot,20241218,guatteria lucens,5
DJI_20250206092344_0010_V_554zoom.JPG,bci50haplot,20250206,dipteryx oleifera,1
DJI_20250206092503_0014_V_1433zoom.JPG,bci50haplot,20250206,jacaranda copaia,1
DJI_20250206093239_0040_V_1368zoom.JPG,bci50haplot,20250206,mascagnia ovatifolia,3
DJI_20250206102144_0010_V_4638zoom.JPG,bci50haplot,20250206,prioria copaifera,5
DJI_20250206102259_0014_V_5057zoom.JPG,bci50haplot,20250206,prioria copaifera,3
DJI_20250206102950_0034_V_3639zoom.JPG,bci50haplot,20250206,omphalea diandra,6
DJI_20250206103333_0046_V_3173zoom.JPG,bci50haplot,20250206,fridericia candicans,1
DJI_20250206103408_0048_V_3169zoom.JPG,bci50haplot,20250206,guapira myrtiflora,3
DJI_20250206105946_0042_V_1822zoom.JPG,bci50haplot,20250206,dipteryx oleifera,1
DJI_20250206110040_0044_V_926zoom.JPG,bci50haplot,20250206,trema domingense,1
DJI_20250226103303_0004_V_4745zoom.JPG,bcicommtower,20250226,uncaria tomentosa,5
DJI_20250226104308_0032_V_3197zoom.JPG,bcicommtower,20250226,hieronyma alchorneoides,6
DJI_20250226104500_0036_V_2396zoom.JPG,bcicommtower,20250226,anacardium excelsum,4
DJI_20250226105216_0052_V_2027zoom.JPG,bcicommtower,20250226,lonchocarpus heptaphyllus,4
DJI_20250226105315_0054_V_1702zoom.JPG,bcicommtower,20250226,anacardium excelsum,5
DJI_20250226110857_0018_V_2385zoom.JPG,bcicommtower,20250226,dipteryx oleifera,4
DJI_20250226111031_0022_V_2798zoom.JPG,bcicommtower,20250226,cordia alliodora,1
DJI_20250226111352_0030_V_2375zoom.JPG,bcicommtower,20250226,anacardium excelsum,5
DJI_20250226111956_0044_V_2355zoom.JPG,bcicommtower,20250226,chrysophyllum cainito,5
DJI_20250226113805_0032_V_4297zoom.JPG,bcicommtower,20250226,guatteria lucens,3
DJI_20250226113845_0034_V_4688zoom.JPG,bcicommtower,20250226,hieronyma alchorneoides,5
DJI_20250226114719_0064_V_5435zoom.JPG,bcicommtower,20250226,hymenaea courbaril,2
DJI_20250226114850_0068_V_5478zoom.JPG,bcicommtower,20250226,uncaria tomentosa,3
DJI_20250226120426_0020_V_5518zoom.JPG,bcicommtower,20250226,anacardium excelsum,3
DJI_20250226122859_0002_V_2737zoom.JPG,bcicommtower,20250226,anacardium excelsum,3
DJI_20250226125330_0022_V_4250zoom.JPG,bcicommtower,20250226,guatteria lucens,2
DJI_20250226130047_0041_V_3902zoom.JPG,bcicommtower,20250226,jacaranda copaia,4
DJI_20250226132158_0024_V_1600zoom.JPG,bcicommtower,20250226,terminalia amazonia,3
DJI_20250226133338_0002_V_1243zoom.JPG,bcicommtower,20250226,tachigali panamensis,4
DJI_20250227131226_0006_V_4470zoom.JPG,bcicommtower,20250227,anacardium excelsum,5
DJI_20250227132507_0032_V_5663zoom.JPG,bcicommtower,20250227,jacaranda copaia,2
