base_image,site,flight_day,gt_species,n_crowns
DJI_20240912084803_0002_V_3138zoom.JPG,bcifairchild,20240912,pseudobombax septenatum,3
DJI_20240912084919_0006_V_3143zoom.JPG,bcifairchild,20240912,miconia argentea,4
DJI_20240912085035_0010_V_2631zoom.JPG,bcifairchild,20240912,pseudobombax septenatum,3
DJI_20240912085151_0014_V_2623zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240912085229_0016_V_2638zoom.JPG,bcifairchild,20240912,attalea butyracea,4
DJI_20240912085303_0018_V_2642zoom.JPG,bcifairchild,20240912,hieronyma alchorneoides,4
DJI_20240912085339_0020_V_2364zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240912085417_0022_V_2915zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240912085535_0026_V_2659zoom.JPG,bcifairchild,20240912,attalea butyracea,2
DJI_20240912085815_0034_V_2680zoom.JPG,bcifairchild,20240912,miconia argentea,1
DJI_20240912085855_0036_V_2661zoom.JPG,bcifairchild,20240912,attalea butyracea,2
DJI_20240912090146_0044_V_2938zoom.JPG,bcifairchild,20240912,attalea butyracea,4
DJI_20240912090402_0050_V_3179zoom.JPG,bcifairchild,20240912,annona spraguei,3
DJI_20240912090706_0058_V_3418zoom.JPG,bcifairchild,20240912,attalea butyracea,1
DJI_20240912091438_0004_V_3427zoom.JPG,bcifairchild,20240912,luehea seemannii,4
DJI_20240912091759_0012_V_3429zoom.JPG,bcifairchild,20240912,attalea butyracea,1
DJI_20240912091848_0014_V_3434zoom.JPG,bcifairchild,20240912,miconia argentea,1
DJI_20240912091936_0016_V_3152zoom.JPG,bcifairchild,20240912,pochota fendleri,2
DJI_20240912092018_0018_V_3162zoom.JPG,bcifairchild,20240912,attalea butyracea,6
DJI_20240912092059_0020_V_2651zoom.JPG,bcifairchild,20240912,gustavia superba,5
DJI_20240912092443_0032_V_2380zoom.JPG,bcifairchild,20240912,pseudobombax septenatum,2
DJI_20240912092519_0034_V_2395zoom.JPG,bcifairchild,20240912,ceiba pentandra,4
DJI_20240912092552_0036_V_2086zoom.JPG,bcifairchild,20240912,ceiba pentandra,3
DJI_20240912092626_0038_V_2409zoom.JPG,bcifairchild,20240912,ceiba pentandra,2
DJI_20240912092701_0040_V_2404zoom.JPG,bcifairchild,20240912,dipteryx oleifera,1
DJI_20240912092739_0042_V_2123zoom.JPG,bcifairchild,20240912,dipteryx oleifera,2
DJI_20240912092827_0044_V_2677zoom.JPG,bcifairchild,20240912,attalea butyracea,4
DJI_20240912093051_0050_V_3195zoom.JPG,bcifairchild,20240912,dipteryx oleifera,1
DJI_20240912093231_0054_V_3670zoom.JPG,bcifairchild,20240912,attalea butyracea,5
DJI_20240912093352_0058_V_3398zoom.JPG,bcifairchild,20240912,dipteryx oleifera,2
DJI_20240912093430_0060_V_3154zoom.JPG,bcifairchild,20240912,ceiba pentandra,2
DJI_20240912093506_0062_V_2906zoom.JPG,bcifairchild,20240912,pochota fendleri,3
DJI_20240912093538_0064_V_2887zoom.JPG,bcifairchild,20240912,pochota fendleri,4
DJI_20240912094111_0002_V_2897zoom.JPG,bcifairchild,20240912,pochota fendleri,1
DJI_20240912094144_0004_V_3141zoom.JPG,bcifairchild,20240912,pochota fendleri,4
DJI_20240912094217_0006_V_3158zoom.JPG,bcifairchild,20240912,pochota fendleri,2
DJI_20240912094326_0010_V_2881zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240912094401_0012_V_2873zoom.JPG,bcifairchild,20240912,apeiba membranacea,2
DJI_20240912094509_0016_V_3123zoom.JPG,bcifairchild,20240912,tabebuia rosea,5
DJI_20240912094545_0018_V_3132zoom.JPG,bcifairchild,20240912,dipteryx oleifera,1
DJI_20240912094739_0024_V_3131zoom.JPG,bcifairchild,20240912,anacardium excelsum,2
DJI_20240912094902_0028_V_3386zoom.JPG,bcifairchild,20240912,anacardium excelsum,3
DJI_20240912095150_0036_V_3390zoom.JPG,bcifairchild,20240912,anacardium excelsum,2
DJI_20240912095237_0038_V_2597zoom.JPG,bcifairchild,20240912,uncaria tomentosa,6
DJI_20240912095308_0040_V_2308zoom.JPG,bcifairchild,20240912,uncaria tomentosa,4
DJI_20240912095340_0042_V_2295zoom.JPG,bcifairchild,20240912,gustavia superba,1
DJI_20240912095448_0046_V_2615zoom.JPG,bcifairchild,20240912,attalea butyracea,3
DJI_20240912095625_0052_V_2886zoom.JPG,bcifairchild,20240912,uncaria tomentosa,1
DJI_20240912095744_0056_V_2354zoom.JPG,bcifairchild,20240912,hieronyma alchorneoides,5
DJI_20240912095817_0058_V_2621zoom.JPG,bcifairchild,20240912,anacardium excelsum,3
DJI_20240912095845_0060_V_2635zoom.JPG,bcifairchild,20240912,anacardium excelsum,2
DJI_20240912100014_0066_V_2048zoom.JPG,bcifairchild,20240912,dipteryx oleifera,2
DJI_20240913104837_0002_V_4135zoom.JPG,bcifairchild,20240913,davilla nitida,2
DJI_20240913105245_0012_V_4385zoom.JPG,bcifairchild,20240913,anacardium excelsum,2
DJI_20240913105334_0014_V_4625zoom.JPG,bcifairchild,20240913,protium panamense,4
DJI_20240913105504_0018_V_4630zoom.JPG,bcifairchild,20240913,luehea seemannii,1
DJI_20240913105845_0028_V_4925zoom.JPG,bcifairchild,20240913,fridericia candicans,4
DJI_20240913110400_0044_V_5444zoom.JPG,bcifairchild,20240913,alseis blackiana,4
DJI_20240913110435_0046_V_5437zoom.JPG,bcifairchild,20240913,attalea butyracea,5
DJI_20240913110510_0048_V_5685zoom.JPG,bcifairchild,20240913,protium panamense,1
DJI_20240913110618_0052_V_5431zoom.JPG,bcifairchild,20240913,anacardium excelsum,4
DJI_20240913110916_0064_V_5399zoom.JPG,bcifairchild,20240913,protium panamense,5
DJI_20240913111027_0068_V_5641zoom.JPG,bcifairchild,20240913,protium stevensonii,4
DJI_20240913111610_0002_V_5137zoom.JPG,bcifairchild,20240913,anacardium excelsum,7
DJI_20240913111644_0004_V_5393zoom.JPG,bcifairchild,20240913,anacardium excelsum,3
DJI_20240913111718_0006_V_5147zoom.JPG,bcifairchild,20240913,anacardium excelsum,2
DJI_20240913111947_0014_V_5165zoom.JPG,bcifairchild,20240913,oenocarpus mapora,5
DJI_20240913112215_0022_V_4885zoom.JPG,bcifairchild,20240913,virola surinamensis,3
DJI_20240913112422_0028_V_4609zoom.JPG,bcifairchild,20240913,davilla nitida,4
DJI_20240913112633_0034_V_4894zoom.JPG,bcifairchild,20240913,terminalia amazonia,6
DJI_20240913112906_0042_V_5163zoom.JPG,bcifairchild,20240913,dipteryx oleifera,1
DJI_20240913113530_0060_V_4136zoom.JPG,bcifairchild,20240913,protium stevensonii,2
DJI_20240913113621_0062_V_4372zoom.JPG,bcifairchild,20240913,attalea butyracea,8
DJI_20240913113804_0066_V_4145zoom.JPG,bcifairchild,20240913,spondias mombin,3
DJI_20240913113900_0068_V_4405zoom.JPG,bcifairchild,20240913,anacardium excelsum,2
DJI_20240913114759_0012_V_3891zoom.JPG,bcifairchild,20240913,trattinnickia aspera,4
DJI_20240913114852_0014_V_4157zoom.JPG,bcifairchild,20240913,pseudobombax septenatum,4
DJI_20240913115053_0018_V_3658zoom.JPG,bcifairchild,20240913,hieronyma alchorneoides,1
DJI_20240913115206_0020_V_4395zoom.JPG,bcifairchild,20240913,alseis blackiana,1
