key,value
stamp,CONFIRMATORY
n_frames,300
n_sites,12
n_days,38
n_species,72
top2_species_share,0.263333
cameras,zoom
bootstrap_draws,10000
bootstrap_seed,20260826
crown_n,300
crown_hits,262
crown_top1,0.873333
crown_top1_site_lo,0.814961
crown_top1_site_hi,0.932836
crown_top1_wilson_lo,0.830918
crown_top1_wilson_hi,0.906308
crown_top5,0.900000
photo_n,300
photo_hits,243
photo_top1,0.810000
photo_top1_site_lo,0.747082
photo_top1_site_hi,0.879310
photo_top1_wilson_lo,0.761795
photo_top1_wilson_hi,0.850366
photo_top5,0.913333
paired_n,300
crown_only_hits,25
photo_only_hits,6
p_mcnemar_exact,0.000878
crown_minus_photo,0.063333
crown_minus_photo_site_lo,0.038793
crown_minus_photo_site_hi,0.088825
p_cluster_bootstrap,0.000000
