global_key,site,queue,predicted_species,confidence
comb_DJI_20240911145818_0032_V_1232zoom.JPG,bcifairchild,long_tail,vochysia ferruginea,0.232030
comb_DJI_20240911153903_0064_V_4812zoom.JPG,bcifairchild,long_tail,combretum fruticosum,0.105240
comb_DJI_20240911154942_0018_V_5948zoom.JPG,bcifairchild,can_wait,protium stevensonii,0.831060
comb_DJI_20240911155402_0032_V_5983zoom.JPG,bcifairchild,normal,pouteria stipitata,0.590320
comb_DJI_20240912085456_0024_V_2909zoom.JPG,bcifairchild,normal,protium stevensonii,0.743290
comb_DJI_20240912094249_0008_V_2893zoom.JPG,bcifairchild,low_conf_known,handroanthus guayacan,0.329220
comb_DJI_20240913105549_0020_V_4621zoom.JPG,bcifairchild,can_wait,anacardium excelsum,0.958330
comb_DJI_20240913110812_0060_V_5414zoom.JPG,bcifairchild,long_tail,fridericia patellifera,0.060130
comb_DJI_20240913114339_0002_V_4155zoom.JPG,bcifairchild,can_wait,anacardium excelsum,0.815150
comb_DJI_20241024131051_0068_V_1820zoom.JPG,bcifairchild,normal,ocotea leptobotra,0.161800
comb_DJI_20241024133515_0054_V_2115zoom.JPG,bcifairchild,long_tail,omphalea diandra,0.373600
comb_DJI_20241024135118_0014_V_2106zoom.JPG,bcifairchild,normal,uncaria tomentosa,0.254400
comb_DJI_20241101093123_0010_V_1230zoom.JPG,bcifairchild,long_tail,virola sebifera,0.918770
comb_DJI_20241101095531_0006_V_848zoom.JPG,bcifairchild,can_wait,alseis blackiana,0.877050
comb_DJI_20241101105043_0010_V_889zoom.JPG,bcifairchild,long_tail,lonchocarpus heptaphyllus,0.672550
comb_DJI_20241101110041_0034_V_830zoom.JPG,bcifairchild,long_tail,trichospermum mexicanum,0.216630
comb_DJI_20241124085114_0020_V_872zoom.JPG,knightlangbci,long_tail,hylenaea praecelsa,0.127420
comb_DJI_20241124091535_0014_V_717zoom.JPG,knightlangbci,normal,fridericia candicans,0.285330
comb_DJI_20241126102141_0002_V_652zoom.JPG,knightlangbci,can_wait,alseis blackiana,0.959270
comb_DJI_20241126102548_0014_V_688zoom.JPG,knightlangbci,can_wait,fridericia candicans,0.809440
comb_DJI_20241126103138_0032_V_650zoom.JPG,knightlangbci,normal,tachigali panamensis,0.116460
comb_DJI_20241126104004_0058_V_632zoom.JPG,knightlangbci,long_tail,aspidosperma desmanthum,0.274290
comb_DJI_20241126104037_0060_V_773zoom.JPG,knightlangbci,normal,pouteria stipitata,0.184380
comb_DJI_20241126105043_0004_V_622zoom.JPG,knightlangbci,normal,davilla nitida,0.525830
comb_DJI_20241127085737_0012_V_1942zoom.JPG,knightlangbci,normal,zanthoxylum ekmanii,0.107750
comb_DJI_20241127092642_0034_V_1899zoom.JPG,knightlangbci,can_wait,davilla nitida,0.970570
comb_DJI_20241127095419_0030_V_2069zoom.JPG,knightlangbci,can_wait,luehea seemannii,0.883910
comb_DJI_20241127100218_0054_V_1785zoom.JPG,knightlangbci,normal,alseis blackiana,0.782440
comb_DJI_20241127103022_0024_V_1696zoom.JPG,knightlangbci,long_tail,sloanea terniflora,0.437980
comb_DJI_20241127112007_0002_V_1176zoom.JPG,knightlangbci,normal,fridericia candicans,0.297230
comb_DJI_20241127113115_0038_V_1300zoom.JPG,knightlangbci,can_wait,alseis blackiana,0.977290
comb_DJI_20241202120000_0052_V_1362zoom.JPG,bcifairchildn,long_tail,attalea butyracea,0.881340
comb_DJI_20241204091919_0006_V_2549zoom.JPG,bcifairchildn,long_tail,pisonia aculeata,0.125120
comb_DJI_20241204092321_0016_V_3414zoom.JPG,bcifairchildn,can_wait,luehea seemannii,0.967600
comb_DJI_20241204095625_0022_V_508zoom.JPG,bcifairchildn,can_wait,anacardium excelsum,0.988720
comb_DJI_20241204143153_0002_V_513zoom.JPG,bcifairchildn,long_tail,vochysia ferruginea,0.327790
comb_DJI_20241204143837_0014_V_4401zoom.JPG,bcifairchildn,long_tail,spondias mombin,0.411200
comb_DJI_20241204144805_0040_V_3055zoom.JPG,bcifairchildn,long_tail,pseudobombax septenatum,0.820520
comb_DJI_20241204145124_0050_V_3347zoom.JPG,bcifairchildn,can_wait,dipteryx oleifera,0.978880
comb_DJI_20241204152128_0046_V_1793zoom.JPG,bcifairchildn,normal,oenocarpus mapora,0.210970
comb_DJI_20241217101617_0020_V_3887zoom.JPG,bci50haplot,normal,fridericia candicans,0.071380
comb_DJI_20241217105319_0036_V_1962zoom.JPG,bci50haplot,low_conf_known,anacardium excelsum,0.492330
comb_DJI_20241226094914_0018_V_3041zoom.JPG,bcitbarbour3o,can_wait,ficus obtusifolia,0.966110
comb_DJI_20241226101308_0004_V_2112zoom.JPG,bcitbarbour3o,long_tail,fridericia chica,0.432430
comb_DJI_20241226101640_0014_V_1754zoom.JPG,bcitbarbour3o,can_wait,prioria copaifera,0.912730
comb_DJI_20241226122104_0004_V_3241zoom.JPG,bcitbarbour3o,long_tail,cosmibuena macrocarpa,0.960500
comb_DJI_20241226142930_0004_V_451zoom.JPG,bcitbarbour3o,normal,prioria copaifera,0.669820
comb_DJI_20241226143107_0008_V_773zoom.JPG,bcitbarbour3o,low_conf_known,prioria copaifera,0.436340
comb_DJI_20241231112803_0024_V_5057zoom.JPG,bcitbarbour3o,can_wait,handroanthus guayacan,0.933090
comb_DJI_20250106095919_0012_V_5194zoom.JPG,bcitbarbour3o,normal,hieronyma alchorneoides,0.528930
comb_DJI_20250106103457_0032_V_5978zoom.JPG,bcitbarbour3o,long_tail,cosmibuena macrocarpa,0.098130
comb_DJI_20250106110119_0026_V_4617zoom.JPG,bcitbarbour3o,normal,oenocarpus mapora,0.100170
comb_DJI_20250110132925_0006_V_226zoom.JPG,pnmcrane,can_wait,ficus insipida,0.915590
comb_DJI_20250110133206_0016_V_158zoom.JPG,pnmcrane,long_tail,parinari excelsa,0.022820
comb_DJI_20250110133240_0018_V_136zoom.JPG,pnmcrane,long_tail,xylosma flexuosa,0.011840
comb_DJI_20250110133413_0024_V_75zoom.JPG,pnmcrane,long_tail,vitis tiliifolia,0.155760
comb_DJI_20250110134737_0004_V_152zoom.JPG,pnmcrane,can_wait,anacardium excelsum,0.985510
comb_DJI_20250110135708_0004_V_11zoom.JPG,pnmcrane,long_tail,croton billbergianus,0.175060
comb_DJI_20250110140930_0048_V_73zoom.JPG,pnmcrane,long_tail,doliocarpus major,0.228230
comb_DJI_20250110145155_0008_V_82zoom.JPG,pnmcrane,long_tail,castilla elastica,0.402920
comb_DJI_20250110151029_0076_V_174zoom.JPG,pnmcrane,long_tail,castilla elastica,0.932790
comb_DJI_20250110151737_0010_V_134zoom.JPG,pnmcrane,long_tail,didymopanax morototoni,0.740970
comb_DJI_20250110152223_0028_V_12zoom.JPG,pnmcrane,long_tail,castilla elastica,0.936020
comb_DJI_20250110153002_0020_V_231zoom.JPG,pnmcrane,can_wait,anacardium excelsum,0.901730
comb_DJI_20250110154929_0010_V_233zoom.JPG,pnmcrane,can_wait,anacardium excelsum,0.965100
comb_DJI_20250110155549_0038_V_43zoom.JPG,pnmcrane,normal,anacardium excelsum,0.777930
comb_DJI_20250110162549_0036_V_95zoom.JPG,pnmcrane,normal,luehea seemannii,0.633870
comb_DJI_20250110162804_0046_V_51zoom.JPG,pnmcrane,long_tail,vitis tiliifolia,0.133650
comb_DJI_20250110163842_0004_V_6zoom.JPG,pnmcrane,normal,luehea seemannii,0.650670
comb_DJI_20250204102717_0018_V_8342zoom.JPG,bci50haplot,can_wait,terminalia oblonga,0.983930
comb_DJI_20250205091938_0036_V_7708zoom.JPG,bci50haplot,normal,protium stevensonii,0.152780
comb_DJI_20250206104939_0014_V_4133zoom.JPG,bci50haplot,can_wait,ceiba pentandra,0.949970
comb_DJI_20250206105328_0024_V_2656zoom.JPG,bci50haplot,low_conf_known,trattinnickia aspera,0.418410
comb_DJI_20250226110351_0006_V_3201zoom.JPG,bcicommtower,long_tail,homalium racemosum,0.016890
comb_DJI_20250304083524_0004_V_6604zoom.JPG,bcicommtower,long_tail,entada polystachya,0.614060
comb_DJI_20250304092520_0002_V_737zoom.JPG,bcicommtower,normal,davilla nitida,0.062480
comb_DJI_20250304094408_0004_V_501zoom.JPG,bcicommtower,long_tail,aegiphila elata,0.020770
comb_DJI_20250304095419_0022_V_651zoom.JPG,bcicommtower,normal,tabebuia rosea,0.412580
comb_DJI_20250304095905_0030_V_916zoom.JPG,bcicommtower,can_wait,hieronyma alchorneoides,0.960790
comb_DJI_20250304102630_0012_V_1506zoom.JPG,bcicommtower,normal,hieronyma alchorneoides,0.750290
comb_DJI_20250305101342_0030_V_1750zoom.JPG,bcicommtower,normal,spondias radlkoferi,0.048760
comb_DJI_20250305110921_0020_V_448zoom.JPG,bcicommtower,low_conf_known,trattinnickia aspera,0.001580
comb_DJI_20250305111605_0032_V_51zoom.JPG,bcicommtower,can_wait,hieronyma alchorneoides,0.879510
comb_DJI_20250305125300_0012_V_6127zoom.JPG,bcicommtower,normal,alseis blackiana,0.536880
comb_DJI_20250520091446_0024_V_129zoom.JPG,coba2,normal,brosimum alicastrum,0.456060
comb_DJI_20250520092204_0048_V_197zoom.JPG,coba2,normal,protium stevensonii,0.779560
comb_DJI_20250520093250_0006_V_198zoom.JPG,coba2,normal,calophyllum longifolium,0.106530
comb_DJI_20250520094101_0036_V_111zoom.JPG,coba2,normal,davilla nitida,0.026570
comb_DJI_20250520100324_0022_V_237zoom.JPG,coba2,normal,protium stevensonii,0.037200
comb_DJI_20250520100514_0028_V_169zoom.JPG,coba2,normal,brosimum alicastrum,0.320430
comb_DJI_20250520100723_0036_V_107zoom.JPG,coba2,normal,brosimum alicastrum,0.655030
comb_DJI_20250520101317_0060_V_211zoom.JPG,coba2,normal,apeiba membranacea,0.025060
comb_DJI_20250520115241_0014_V_193zoom.JPG,coba2,long_tail,sloanea terniflora,0.100380
comb_DJI_20250520115651_0028_V_212zoom.JPG,coba2,long_tail,protium panamense,0.107340
comb_DJI_20250520120024_0040_V_79zoom.JPG,coba2,low_conf_known,dipteryx oleifera,0.017610
comb_DJI_20250522085957_0019_V_11zoom.JPG,srp31,low_conf_known,anacardium excelsum,0.123130
comb_DJI_20250522090234_0027_V_21zoom.JPG,srp31,normal,protium stevensonii,0.125730
comb_DJI_20250522090544_0033_V_23zoom.JPG,srp31,long_tail,welfia regia,0.055760
comb_DJI_20250522090721_0039_V_156zoom.JPG,srp31,normal,davilla nitida,0.531830
comb_DJI_20250522091647_0005_V_79zoom.JPG,srp31,normal,jacaranda copaia,0.591490
comb_DJI_20250522092137_0025_V_98zoom.JPG,srp31,long_tail,funtumia elastica,0.038890
comb_DJI_20250522094316_0021_V_77zoom.JPG,srp31,long_tail,cordia alliodora,0.211130
comb_DJI_20250522094956_0047_V_32zoom.JPG,srp31,long_tail,hylenaea praecelsa,0.050250
comb_DJI_20250522095203_0055_V_70zoom.JPG,srp31,long_tail,celtis iguanaea,0.249680
comb_DJI_20250522100346_0003_V_100zoom.JPG,srp31,long_tail,guarea bullata,0.038000
comb_DJI_20250522102936_0011_V_137zoom.JPG,srp31,long_tail,pleurothyrium palmanum,0.033790
comb_DJI_20250522103832_0045_V_125zoom.JPG,srp31,long_tail,beilschmiedia tovarensis,0.063650
comb_DJI_20250523083221_0017_V_21zoom.JPG,srfincaroubik,long_tail,beilschmiedia tovarensis,0.335030
comb_DJI_20250523083445_0027_V_63zoom.JPG,srfincaroubik,normal,brosimum alicastrum,0.072560
comb_DJI_20250523083733_0039_V_62zoom.JPG,srfincaroubik,can_wait,hippocratea volubilis,0.859500
comb_DJI_20250523084022_0051_V_96zoom.JPG,srfincaroubik,long_tail,doliocarpus major,0.077450
comb_DJI_20250523084114_0055_V_125zoom.JPG,srfincaroubik,normal,davilla nitida,0.748100
comb_DJI_20250523090154_0051_V_52zoom.JPG,srfincaroubik,low_conf_known,chrysophyllum cainito,0.072840
comb_DJI_20250523090748_0075_V_10zoom.JPG,srfincaroubik,normal,brosimum alicastrum,0.080280
comb_DJI_20250523101205_0051_V_15zoom.JPG,srfincaroubik,low_conf_known,chrysophyllum cainito,0.119280
comb_DJI_20250523101437_0061_V_24zoom.JPG,srfincaroubik,long_tail,plinia cauliflora,0.017150
comb_DJI_20250523102233_0001_V_56zoom.JPG,srfincaroubik,long_tail,sapium glandulosum,0.126300
comb_DJI_20250523102457_0011_V_151zoom.JPG,srfincaroubik,long_tail,guapira myrtiflora,0.045640
comb_DJI_20250523102619_0017_V_90zoom.JPG,srfincaroubik,normal,davilla nitida,0.392650
comb_DJI_20250716094251_0012_V_424zoom.JPG,bci25haplot,can_wait,protium stevensonii,0.984200
comb_DJI_20250716101247_0030_V_367zoom.JPG,bci25haplot,normal,protium stevensonii,0.794610
comb_DJI_20250716105142_0012_V_258zoom.JPG,bci25haplot,normal,fridericia candicans,0.298120
comb_DJI_20250716114822_0014_V_14zoom.JPG,bci10haplot,long_tail,guazuma ulmifolia,0.310230
comb_DJI_20250716121355_0028_V_55zoom.JPG,bci10haplot,normal,ceiba pentandra,0.368610
comb_DJI_20250716123606_0016_V_42zoom.JPG,bci10haplot,normal,jacaranda copaia,0.717470
comb_DJI_20250717085316_0036_V_81zoom.JPG,bci10haplot,normal,ceiba pentandra,0.412440
comb_DJI_20250717091211_0020_V_29zoom.JPG,bci10haplot,normal,ceiba pentandra,0.504840
comb_DJI_20250723124554_0039_V_6674zoom.JPG,bci50haplot,long_tail,celtis iguanaea,0.472150
comb_DJI_20250723130907_0039_V_10898zoom.JPG,bci50haplot,long_tail,faramea occidentalis,0.016000
comb_DJI_20250724132732_0035_V_8744zoom.JPG,bci50haplot,long_tail,lonchocarpus heptaphyllus,0.067750
comb_DJI_20250804145530_0017_V_7856zoom.JPG,bci50haplot,normal,apeiba tibourbou,0.397680
comb_DJI_20250806093843_0004_V_158zoom.JPG,shermancrane,normal,brosimum alicastrum,0.090310
comb_DJI_20250806094306_0020_V_78zoom.JPG,shermancrane,normal,brosimum alicastrum,0.541220
comb_DJI_20250806094505_0028_V_98zoom.JPG,shermancrane,long_tail,aspidosperma desmanthum,0.400720
comb_DJI_20250806095608_0028_V_81zoom.JPG,shermancrane,long_tail,chrysophyllum argenteum,0.011900
comb_DJI_20250806100226_0054_V_10zoom.JPG,shermancrane,normal,brosimum alicastrum,0.128930
comb_DJI_20250806101520_0006_V_175zoom.JPG,shermancrane,long_tail,socratea exorrhiza,0.261680
comb_DJI_20250806101821_0018_V_87zoom.JPG,shermancrane,long_tail,beilschmiedia tovarensis,0.097590
comb_DJI_20250806102618_0014_V_50zoom.JPG,shermancrane,normal,platypodium elegans,0.032410
comb_DJI_20250806104554_0020_V_56zoom.JPG,shermancrane,long_tail,cupania scrobiculata,0.111290
comb_DJI_20250806105525_0002_V_12zoom.JPG,shermancrane,can_wait,guatteria lucens,0.950880
comb_DJI_20250806111806_0040_V_119zoom.JPG,shermancrane,long_tail,cosmibuena macrocarpa,0.247530
comb_DJI_20250806111942_0046_V_114zoom.JPG,shermancrane,normal,ocotea leptobotra,0.392420
comb_DJI_20250807100556_0027_V_5830zoom.JPG,bci50haplot,can_wait,protium stevensonii,0.846130
comb_DJI_20250807103022_0011_V_5001zoom.JPG,bci50haplot,low_conf_known,anacardium excelsum,0.099670
comb_DJI_20250807103242_0019_V_7619zoom.JPG,bci50haplot,normal,senegalia hayesii,0.263130
comb_DJI_20250813084539_0005_V_8702zoom.JPG,bci50haplot,long_tail,sloanea terniflora,0.025920
comb_DJI_20250813084829_0015_V_8542zoom.JPG,bci50haplot,normal,protium stevensonii,0.692530
comb_DJI_20250813085509_0035_V_10354zoom.JPG,bci50haplot,normal,senegalia hayesii,0.414440
comb_DJI_20250813091214_0019_V_10286zoom.JPG,bci50haplot,normal,fridericia candicans,0.079370
comb_DJI_20250813091321_0023_V_10269zoom.JPG,bci50haplot,long_tail,guapira myrtiflora,0.803430
comb_DJI_20250813110602_0022_V_10110zoom.JPG,bci50haplot,normal,pouteria stipitata,0.011620
comb_DJI_20250813112155_0013_V_10213zoom.JPG,bci50haplot,normal,fridericia candicans,0.494170
comb_DJI_20250813123319_0001_V_8483zoom.JPG,bci50haplot,long_tail,martinella obovata,0.049060
comb_DJI_20250813125902_0007_V_9498zoom.JPG,bci50haplot,normal,sterculia apetala,0.093970
comb_DJI_20250813135119_0003_V_1436zoom.JPG,bci50haplot,long_tail,virola sebifera,0.224550
comb_DJI_20250813140004_0031_V_990zoom.JPG,bci50haplot,long_tail,fridericia patellifera,0.308440
comb_DJI_20250814105822_0033_V_6506zoom.JPG,bcitbarbour3o,normal,davilla nitida,0.036660
comb_DJI_20250814125922_0013_V_6909zoom.JPG,bcitbarbour3o,long_tail,nectandra lineata,0.680850
comb_DJI_20250814132120_0005_V_9376zoom.JPG,bcitbarbour3o,normal,uncaria tomentosa,0.262700
comb_DJI_20250814134326_0001_V_6314zoom.JPG,bcifairchild,long_tail,maripa panamensis,0.254430
comb_DJI_20250814134726_0015_V_7686zoom.JPG,bcifairchild,can_wait,dipteryx oleifera,0.949170
comb_DJI_20250814134833_0019_V_228zoom.JPG,bcifairchild,can_wait,handroanthus guayacan,0.900740
comb_DJI_20250814135308_0031_V_7555zoom.JPG,bcifairchild,can_wait,anacardium excelsum,0.889140
comb_DJI_20250814140211_0063_V_6010zoom.JPG,bcifairchild,can_wait,guatteria lucens,0.927500
comb_DJI_20250814142003_0001_V_5119zoom.JPG,bcifairchild,long_tail,spondias mombin,0.782390
comb_DJI_20250814143526_0055_V_2153zoom.JPG,bcifairchild,long_tail,pseudobombax septenatum,0.537970
comb_DJI_20250820105242_0005_V_5153zoom.JPG,bci25haplot,normal,hippocratea volubilis,0.397880
comb_DJI_20250924105609_0015_V_1292zoom.JPG,bci10haplot,normal,alseis blackiana,0.641230
comb_DJI_20250926091830_0023_V_3941zoom.JPG,bci10haplot,normal,uncaria tomentosa,0.346300
comb_DJI_20250926102651_0025_V_2724zoom.JPG,bci10haplot,normal,hippocratea volubilis,0.176280
comb_DJI_20250926112850_0009_V_2125zoom.JPG,bci10haplot,long_tail,combretum fruticosum,0.102610
comb_DJI_20250930113617_0007_V_6371zoom.JPG,bcifairchild,normal,anacardium excelsum,0.718440
comb_DJI_20250930113651_0009_V_6339zoom.JPG,bcifairchild,normal,terminalia amazonia,0.728550
comb_DJI_20250930115921_0011_V_3970zoom.JPG,bcifairchild,long_tail,lonchocarpus heptaphyllus,0.033730
comb_DJI_20250930120022_0015_V_3980zoom.JPG,bcifairchild,can_wait,anacardium excelsum,0.928640
comb_DJI_20250930120232_0023_V_2311zoom.JPG,bcifairchild,can_wait,hieronyma alchorneoides,0.895160
comb_DJI_20250930120738_0043_V_1239zoom.JPG,bcifairchild,low_conf_known,handroanthus guayacan,0.350840
comb_DJI_20250930121104_0055_V_1349zoom.JPG,bcifairchild,low_conf_known,hura crepitans,0.150990
comb_DJI_20250930121139_0057_V_663zoom.JPG,bcifairchild,long_tail,vatairea erythrocarpa,0.094430
comb_DJI_20250930121211_0059_V_678zoom.JPG,bcifairchild,can_wait,anacardium excelsum,0.984770
comb_DJI_20251001101834_0009_V_1505zoom.JPG,bci25haplot,normal,simarouba amara,0.121140
comb_DJI_20251001123433_0017_V_5098zoom.JPG,bci25haplot,normal,protium stevensonii,0.789020
comb_DJI_20251003113326_0029_V_1063zoom.JPG,bcizetektower,can_wait,alseis blackiana,0.859920
comb_DJI_20251003121838_0029_V_2314zoom.JPG,bcizetektower,normal,brosimum alicastrum,0.377140
comb_DJI_20251003122002_0035_V_840zoom.JPG,bcizetektower,long_tail,cordia alliodora,0.148300
