global_key,site,queue,predicted_species,confidence
comb_DJI_20240911145044_0006_V_2037zoom.JPG,bcifairchild,normal,oenocarpus mapora,0.063950
comb_DJI_20240911145236_0012_V_1779zoom.JPG,bcifairchild,normal,miconia argentea,0.017890
comb_DJI_20240911145311_0014_V_1767zoom.JPG,bcifairchild,normal,oenocarpus mapora,0.124890
comb_DJI_20240911145345_0016_V_1781zoom.JPG,bcifairchild,long_tail,elaeis guineensis,0.071450
comb_DJI_20240911145423_0018_V_1503zoom.JPG,bcifairchild,long_tail,acrostichum aureum,0.018190
comb_DJI_20240911145600_0024_V_1486zoom.JPG,bcifairchild,long_tail,attalea butyracea,0.676400
comb_DJI_20240911145633_0026_V_970zoom.JPG,bcifairchild,long_tail,cenostigma eriostachys,0.028990
comb_DJI_20240911145818_0032_V_1232zoom.JPG,bcifairchild,long_tail,vochysia ferruginea,0.232030
comb_DJI_20240911145855_0034_V_507zoom.JPG,bcifairchild,long_tail,tecomaria capensis,0.053110
comb_DJI_20240911145928_0036_V_514zoom.JPG,bcifairchild,long_tail,ixora coccinea,0.009410
comb_DJI_20240911150402_0048_V_2253zoom.JPG,bcifairchild,long_tail,trichilia tuberculata,0.624840
comb_DJI_20240911150443_0050_V_2240zoom.JPG,bcifairchild,long_tail,quararibea asterolepis,0.742580
comb_DJI_20240911150616_0054_V_2815zoom.JPG,bcifairchild,long_tail,guarea guidonia,0.349570
comb_DJI_20240911151847_0006_V_2549zoom.JPG,bcifairchild,long_tail,protium tenuifolium,0.208280
comb_DJI_20240911152111_0012_V_3345zoom.JPG,bcifairchild,normal,protium stevensonii,0.126590
comb_DJI_20240911152608_0024_V_3572zoom.JPG,bcifairchild,low_conf_known,hieronyma alchorneoides,0.329080
comb_DJI_20240911152947_0034_V_4532zoom.JPG,bcifairchild,normal,oenocarpus mapora,0.242330
comb_DJI_20240911153023_0036_V_4301zoom.JPG,bcifairchild,low_conf_known,astronium graveolens,0.177710
comb_DJI_20240911153056_0038_V_4270zoom.JPG,bcifairchild,long_tail,ocotea oblonga,0.037600
comb_DJI_20240911153129_0040_V_4261zoom.JPG,bcifairchild,long_tail,alchorneopsis floribunda,0.005340
comb_DJI_20240911153208_0042_V_4499zoom.JPG,bcifairchild,normal,davilla nitida,0.542740
comb_DJI_20240911153244_0044_V_4783zoom.JPG,bcifairchild,long_tail,attalea butyracea,0.830380
comb_DJI_20240911153320_0046_V_4506zoom.JPG,bcifairchild,normal,oenocarpus mapora,0.294940
comb_DJI_20240911153356_0048_V_4792zoom.JPG,bcifairchild,long_tail,acrocomia aculeata,0.155770
comb_DJI_20240911153438_0050_V_4522zoom.JPG,bcifairchild,long_tail,sapium glandulosum,0.494540
comb_DJI_20240911153514_0052_V_4531zoom.JPG,bcifairchild,long_tail,fridericia patellifera,0.447730
comb_DJI_20240911153710_0058_V_4803zoom.JPG,bcifairchild,normal,protium stevensonii,0.630220
comb_DJI_20240911153743_0060_V_5072zoom.JPG,bcifairchild,long_tail,cissus erosa,0.542820
comb_DJI_20240911153823_0062_V_5079zoom.JPG,bcifairchild,long_tail,cissus erosa,0.187150
comb_DJI_20240911153903_0064_V_4812zoom.JPG,bcifairchild,long_tail,combretum fruticosum,0.105240
comb_DJI_20240911154434_0002_V_4796zoom.JPG,bcifairchild,normal,alseis blackiana,0.361640
comb_DJI_20240911154547_0006_V_5098zoom.JPG,bcifairchild,can_wait,protium stevensonii,0.948650
comb_DJI_20240911154627_0008_V_5329zoom.JPG,bcifairchild,long_tail,sloanea terniflora,0.278950
comb_DJI_20240911154748_0012_V_5553zoom.JPG,bcifairchild,normal,apeiba tibourbou,0.520710
comb_DJI_20240911154823_0014_V_5764zoom.JPG,bcifairchild,normal,platypodium elegans,0.426470
comb_DJI_20240911154905_0016_V_5575zoom.JPG,bcifairchild,normal,protium stevensonii,0.414210
comb_DJI_20240911154942_0018_V_5948zoom.JPG,bcifairchild,can_wait,protium stevensonii,0.831060
comb_DJI_20240911155017_0020_V_5780zoom.JPG,bcifairchild,can_wait,handroanthus guayacan,0.945380
comb_DJI_20240911155105_0022_V_6003zoom.JPG,bcifairchild,normal,tabebuia rosea,0.165570
comb_DJI_20240911155143_0024_V_5800zoom.JPG,bcifairchild,normal,davilla nitida,0.132650
comb_DJI_20240911155219_0026_V_5819zoom.JPG,bcifairchild,normal,protium stevensonii,0.432490
comb_DJI_20240911155253_0028_V_6148zoom.JPG,bcifairchild,low_conf_known,astronium graveolens,0.238140
comb_DJI_20240911155329_0030_V_6012zoom.JPG,bcifairchild,normal,astronium graveolens,0.672640
comb_DJI_20240911155402_0032_V_5983zoom.JPG,bcifairchild,normal,pouteria stipitata,0.590320
